[NLOS] Signal: -87.77 dBm | First Path: -96.26 dBm | Diff: 8.49 dB
[NLOS] Signal: -87.36 dBm | First Path: -96.00 dBm | Diff: 8.64 dB
[NLOS] Signal: -87.68 dBm | First Path: -96.30 dBm | Diff: 8.61 dB
[NLOS] Signal: -88.28 dBm | First Path: -96.19 dBm | Diff: 7.91 dB
[NLOS] Signal: -87.68 dBm | First Path: -96.53 dBm | Diff: 8.85 dB
[NLOS] Signal: -88.01 dBm | First Path: -96.03 dBm | Diff: 8.02 dB
[NLOS] Signal: -88.03 dBm | First Path: -95.75 dBm | Diff: 7.72 dB
[NLOS] Signal: -87.95 dBm | First Path: -95.90 dBm | Diff: 7.96 dB
[NLOS] Signal: -87.95 dBm | First Path: -96.92 dBm | Diff: 8.98 dB
[NLOS] Signal: -87.68 dBm | First Path: -96.16 dBm | Diff: 8.47 dB
