[NLOS] Signal: -85.69 dBm | First Path: -100.62 dBm | Diff: 14.92 dB
[NLOS] Signal: -85.81 dBm | First Path: -102.03 dBm | Diff: 16.22 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.33 dBm | Diff: 14.64 dB
[NLOS] Signal: -85.65 dBm | First Path: -100.95 dBm | Diff: 15.30 dB
[NLOS] Signal: -86.06 dBm | First Path: -100.74 dBm | Diff: 14.68 dB
[NLOS] Signal: -85.60 dBm | First Path: -100.62 dBm | Diff: 15.02 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.67 dBm | Diff: 14.99 dB
[NLOS] Signal: -86.01 dBm | First Path: -100.99 dBm | Diff: 14.98 dB
[NLOS] Signal: -85.61 dBm | First Path: -101.16 dBm | Diff: 15.54 dB
[NLOS] Signal: -85.81 dBm | First Path: -101.57 dBm | Diff: 15.75 dB
[NLOS] Signal: -85.53 dBm | First Path: -102.03 dBm | Diff: 16.49 dB
[NLOS] Signal: -85.81 dBm | First Path: -101.05 dBm | Diff: 15.24 dB
[NLOS] Signal: -85.89 dBm | First Path: -101.01 dBm | Diff: 15.12 dB
[NLOS] Signal: -85.77 dBm | First Path: -101.91 dBm | Diff: 16.14 dB
[NLOS] Signal: -85.93 dBm | First Path: -101.64 dBm | Diff: 15.71 dB
[NLOS] Signal: -86.12 dBm | First Path: -101.22 dBm | Diff: 15.10 dB
[NLOS] Signal: -85.60 dBm | First Path: -102.58 dBm | Diff: 16.97 dB
[NLOS] Signal: -85.61 dBm | First Path: -100.94 dBm | Diff: 15.32 dB
[NLOS] Signal: -85.65 dBm | First Path: -101.08 dBm | Diff: 15.43 dB
[NLOS] Signal: -85.95 dBm | First Path: -102.36 dBm | Diff: 16.41 dB
[NLOS] Signal: -85.95 dBm | First Path: -101.90 dBm | Diff: 15.95 dB
[NLOS] Signal: -85.73 dBm | First Path: -101.60 dBm | Diff: 15.87 dB
[NLOS] Signal: -85.81 dBm | First Path: -100.94 dBm | Diff: 15.13 dB
[NLOS] Signal: -85.87 dBm | First Path: -101.67 dBm | Diff: 15.80 dB
[NLOS] Signal: -85.89 dBm | First Path: -100.69 dBm | Diff: 14.80 dB
[NLOS] Signal: -85.61 dBm | First Path: -102.50 dBm | Diff: 16.89 dB
[NLOS] Signal: -85.60 dBm | First Path: -101.94 dBm | Diff: 16.34 dB
[NLOS] Signal: -86.04 dBm | First Path: -102.34 dBm | Diff: 16.31 dB
[NLOS] Signal: -86.20 dBm | First Path: -101.47 dBm | Diff: 15.27 dB
[NLOS] Signal: -85.77 dBm | First Path: -101.93 dBm | Diff: 16.16 dB
[NLOS] Signal: -85.77 dBm | First Path: -101.72 dBm | Diff: 15.95 dB
[NLOS] Signal: -85.73 dBm | First Path: -101.62 dBm | Diff: 15.89 dB
[NLOS] Signal: -85.85 dBm | First Path: -102.09 dBm | Diff: 16.24 dB
[NLOS] Signal: -85.73 dBm | First Path: -101.77 dBm | Diff: 16.04 dB
[NLOS] Signal: -85.52 dBm | First Path: -101.54 dBm | Diff: 16.02 dB
[NLOS] Signal: -85.85 dBm | First Path: -101.93 dBm | Diff: 16.08 dB
[NLOS] Signal: -86.09 dBm | First Path: -101.98 dBm | Diff: 15.89 dB
[NLOS] Signal: -85.51 dBm | First Path: -102.46 dBm | Diff: 16.95 dB
[NLOS] Signal: -85.81 dBm | First Path: -101.80 dBm | Diff: 16.00 dB
[NLOS] Signal: -85.77 dBm | First Path: -100.60 dBm | Diff: 14.83 dB
[NLOS] Signal: -85.73 dBm | First Path: -101.88 dBm | Diff: 16.15 dB
[NLOS] Signal: -85.65 dBm | First Path: -103.10 dBm | Diff: 17.45 dB
[NLOS] Signal: -85.60 dBm | First Path: -103.01 dBm | Diff: 17.41 dB
[NLOS] Signal: -85.95 dBm | First Path: -101.99 dBm | Diff: 16.04 dB
[NLOS] Signal: -85.81 dBm | First Path: -101.67 dBm | Diff: 15.86 dB
